comment_id,text,published_at,roberta_neg,roberta_neu,roberta_pos,roberta_label,num_words
UgwoiJ6zDlEHgNHbKHl4AaABAg,mike is the most traumatic in this season his parents are in hospital his little sister is missing and his girlfriend is going to be in the upside down forever and he is like closed of with will ... a lot more,2025-12-27T02:17:44Z,0.9719001054763794,0.0259353388100862,0.0021644881926476,negative,42
UgyXJRcSbn74ajhkmBN4AaABAg,"this was so bad yall. wth was that writing, the pacing for this volume was so bad too. i was so bored till the jonathan / nancy scene and they should've died in that scene but they didnt. there are literally 0 stakes in this dumb show. all the main characters have plot armor.",2025-12-27T02:13:56Z,0.9750257730484008,0.0220504123717546,0.0029237912967801,negative,54
UgzhXrqNFCkMLMOB6dh4AaABAg,not a single shot from final episode,2025-12-27T01:51:33Z,0.3901469111442566,0.5793944001197815,0.030458778142929,neutral,7
UgxQPzUbRC8ECcXroFF4AaABAg,rated j for jesus: a box office blasphemy – hollywood can’t stop saying his name,2025-12-27T01:35:21Z,0.29947230219841,0.5926295518875122,0.1078981757164001,neutral,15
UgzQIyIMuD3WZha30dd4AaABAg,does hollyweird ever stop attacking christianity. the blasphemy in this season burned my ears. disgusting and evil. i now believe the stories i hear about hollyweird. satanist,2025-12-27T01:30:37Z,0.9727163910865784,0.0248297080397605,0.0024539099540561,negative,27
UgyChZr1Zs9Sti18L7t4AaABAg,i be watching the finale in my room on the 31st so my mum will drag me to church,2025-12-27T00:59:36Z,0.12538743019104,0.7345704436302185,0.140042096376419,neutral,19
UgyzIyT2K-bCx484XtF4AaABAg,netflix ruined this series by glorifying homosexuality. it's a disgrace.,2025-12-27T00:55:26Z,0.9828710556030272,0.0149381486698985,0.0021907927002757,negative,10
UgwwcKMnIyCnECCK5bR4AaABAg,so after watching volume 2 i realize that this is all in those 3 episodes... wtf happens in the finale,2025-12-27T00:55:09Z,0.2543623149394989,0.691333532333374,0.0543041191995143,neutral,20
UgwxrrpnjbZiYycH4st4AaABAg,"after watching it, i realized that welcome to derry is better than this series is full of agendas 🤏",2025-12-27T00:49:24Z,0.1947876811027526,0.408272922039032,0.3969393670558929,neutral,19
UgzRAlaCuNAwYKIzNrN4AaABAg,this season is such a disappointment so far. karen's arch is the only good thing about it!i think we're headed to the same finale as got...,2025-12-26T23:35:04Z,0.7117346525192261,0.2146673202514648,0.0735980421304702,negative,26
